model,domain,prompting_condition,instance,iteration,plan_text,plan_len,solves_problem,valid_action_percent,consecutive_valid_steps,logical_violations,wallclock_s,prompt_tokens,completion_tokens
llama8,tetris,baseline,instance-01,1,"(at_two straight0 f0-0f f0-1f)
(at_two straight0 f0-2f f0-3f)
(at_two straight1 f1-0f f1-1f)
(at_two straight1 f1-2f f1-3f)
(at_two straight2 f2-0f f2-1f)
(at_two straight2 f2-2f f2-3f)",0,False,0.0,0,0,23.041,4700,493
llama8,tetris,baseline,instance-02,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight0 f1-2f f1-3f)
(move_square f0-0f f4-0f square0)
(move_square f0-1f f4-1f square0)
(move_square f0-2f f4-2f square0)
(move_square f0-3f f4-3f square0)",0,False,0.0,0,0,24.877,5228,957
llama8,tetris,baseline,instance-03,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight1 f2-0f f2-1f)
(move_square f0-0f f11-3f square0)
(move_square f0-1f f11-2f square1)
(move_square f0-2f f11-1f square2)
(move_square f0-3f f11-0f square3)",0,False,0.0,0,0,88.460,5238,3231
llama8,tetris,baseline,instance-04,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight1 f2-0f f2-1f)
(move_square f0-0f f1-0f square0)
(move_square f1-0f f2-0f square0)
(move_square f2-0f f3-0f square0)
(move_square f3-0f f4-0f square0)
(move_square f0-1f f1-1f square1)
(move_square f1-1f f2-1f square1)
(move_square f2-1f f3-1f square1)
(move_square f3-1f f4-1f square1)
(move_square f0-2f f1-2f square2)
(move_square f1-2f f2-2f square2)
(move_square f2-2f f3-2f square2)
(move_square f3-2f f4-2f square2)
(move_square f0-3f f1-3f square3)
(move_square f1-3f f2-3f square3)
(move_square f2-3f f3-3f square3)
(move_square f3-3f f4-3f square3)",0,False,0.0,0,0,39.609,5239,1512
llama8,tetris,baseline,instance-05,1,"(at_two straight0 f1-2f f1-3f)
(move_square f0-0f f0-0f square0)
(move_square f0-1f f0-1f square1)
(move_square f0-2f f0-2f square2)
(move_square f0-3f f0-3f square3)
(move_square f1-0f f1-0f square4)
(move_square f1-1f f1-1f square5)
(move_square f1-2f f1-2f square6)
(move_square f1-3f f1-3f square7)
(move_square f2-0f f2-0f square8)
(move_square f2-1f f2-1f square9)
(move_square f2-2f f2-2f square10)
(move_square f2-3f f2-3f square11)
(move_square f3-0f f3-0f square12)
(move_square f3-1f f3-1f square13)
(move_square f3-2f f3-2f square14)
(move_square f3-3f f3-3f square15)
(move_square f4-0f f4-0f square16)
(move_square f4-1f f4-1f square17)
(move_square f4-2f f4-2f square18)
(move_square f4-3f f4-3f square19)
(move_square f5-0f f5-0f square20)
(move_square f5-1f f5-1f square21)
(move_square f5-2f f5-2f square22)
(move_square f5-3f f5-3f square23)
(move_square f6-0f f6-0f square24)
(move_square f6-1f f6-1f square25)
(move_square f6-2f f6-2f square26)
(move_square f6-3f f6-3f square27)
(move_square f7-0f f7-0f square28)
(move_square f7-1f f7-1f square29)
(move_square f7-2f f7-2f square30)
(move_square f7-3f f7-3f square31)
(move_square f8-0f f8-0f square32)
(move_square f8-1f f8-1f square33)
(move_square f8-2f f8-2f square34)
(move_square f8-3f f8-3f square35)
(move_square f9-0f f9-0f square36)
(move_square f9-1f f9-1f square37)
(move_square f9-2f f9-2f square38)
(move_square f9-3f f9-3f square39)
(move_square f10-0f f10-0f square40)
(move_square f10-1f f10-1f square41)
(move_square f10-2f f10-2f square42)
(move_square f10-3f f10-3f square43)
(move_square f11-0f f11-0f square44)
(move_square f11-1f f11-1f square45)
(move_square f11-2f f11-2f square46)
(move_square f11-3f f11-3f square47)",0,False,0.0,0,0,68.423,5246,2545
llama8,tetris,baseline,instance-06,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight1 f2-0f f2-1f)
(move_square f0-0f f4-2f square0)
(move_square f4-0f f4-2f square0)
(move_square f0-1f f4-3f square1)
(move_square f4-1f f4-3f square1)
(move_square f0-2f f5-0f square2)
(move_square f4-2f f5-0f square2)
(move_square f0-3f f5-1f square3)
(move_square f4-3f f5-1f square3)",0,False,0.0,0,0,37.293,5238,1419
llama8,tetris,baseline,instance-07,1,"(move_square f0-0f f4-0f square0)
(move_square f0-1f f4-1f square1)
(move_square f0-2f f4-2f square2)
(move_square f0-3f f4-3f square3)",4,False,25.0,1,3,24.481,5242,940
llama8,tetris,baseline,instance-07,2,"(move_square f0-0f f4-0f square0)
(move_square f0-1f f4-1f square1)
(move_square f0-2f f4-2f square2)
(move_square f0-3f f4-3f square3)",4,False,25.0,1,3,33.728,6521,1293
llama8,tetris,baseline,instance-07,3,"(move_square f0-0f f8-0f square0)
(move_square f0-1f f8-1f square1)
(move_square f0-2f f8-2f square2)
(move_square f0-3f f8-3f square3)",4,False,25.0,1,3,34.545,8179,1322
llama8,tetris,baseline,instance-07,4,"(move_square f0-0f f1-0f square0)
(move_square f0-1f f1-1f square1)
(move_square f0-2f f1-2f square2)
(move_square f0-3f f1-3f square3)
(move_square f1-0f f2-0f square0)
(move_square f1-1f f2-1f square1)
(move_square f1-2f f2-2f square2)
(move_square f1-3f f2-3f square3)
(move_square f2-0f f4-0f square0)
(move_square f2-1f f4-1f square1)
(move_square f2-2f f4-2f square2)
(move_square f2-3f f4-3f square3)",12,False,8.333333333333334,1,3,49.078,9829,1855
