model,domain,prompting_condition,instance,iteration,plan_text,plan_len,solves_problem,valid_action_percent,consecutive_valid_steps,logical_violations,wallclock_s,prompt_tokens,completion_tokens
llama8,citycar,cot,instance-01,1,"(move_car_in_road junction0-0 junction1-0 car0 road0)
(build_straight_oneway junction1-0 junction2-0 road1)
(move_car_in_road junction0-0 junction1-1 car1 road2)
(build_diagonal_oneway junction1-1 junction2-1 road3)
(move_car_in_road junction1-1 junction2-1 car1 road3)
(move_car_in_road junction1-0 junction2-0 car0 road1)
(move_car_out_road junction2-0 junction2-0 car0 road1)
(move_car_out_road junction2-1 junction2-1 car1 road3)
(car_arrived junction2-0 car0)
(car_arrived junction2-1 car1)",10,False,10.0,1,3,23.591,2586,526
llama8,citycar,cot,instance-01,2,"(move_car_in_road junction0-0 junction1-0 car0 road0)
(build_straight_oneway junction1-0 junction2-0 road1)
(move_car_in_road junction0-0 junction1-1 car1 road2)
(build_diagonal_oneway junction1-1 junction2-1 road3)
(move_car_in_road junction1-0 junction2-0 car0 road1)
(move_car_in_road junction1-1 junction2-1 car1 road3)
(move_car_out_road junction2-0 junction2-0 car0 road1)
(move_car_out_road junction2-1 junction2-1 car1 road3)
(car_arrived junction2-0 car0)
(car_arrived junction2-1 car1)",10,False,10.0,1,3,17.195,3409,677
llama8,citycar,cot,instance-01,3,"(move_car_in_road junction0-0 junction1-0 car0 road0)
(Set (in_place road0)
(move_car_in_road junction0-0 junction1-0 car0 road0)
(move_car_in_road junction0-0 junction1-1 car1 road1)
(build_straight_oneway junction1-0 junction2-0 road2)
(build_straight_oneway junction1-1 junction2-1 road3)
(move_car_out_road junction2-0 junction2-0 car0 road2)
(move_car_out_road junction2-1 junction2-1 car1 road3)
(car_arrived junction2-0 car0)
(car_arrived junction2-1 car1)",0,False,0.0,0,0,17.773,4230,683
llama8,citycar,cot,instance-02,1,"(move_car_in_road junction0-1 junction2-1 car1 road1)
(move_car_in_road junction0-2 junction2-0 car2 road2)
(move_car_in_road junction0-0 junction2-2 car0 road3)
(move_car_out_road junction2-1 junction2-1 car1 road1)
(move_car_out_road junction2-0 junction2-0 car2 road2)
(move_car_out_road junction2-2 junction2-2 car0 road3)
(car_arrived junction2-2 car0)
(car_arrived junction2-1 car1)
(car_arrived junction2-0 car2)",9,False,11.11111111111111,1,3,13.940,2604,550
llama8,citycar,cot,instance-02,2,"(build_straight_oneway junction0-0 junction2-0 road0)
(build_straight_oneway junction0-1 junction2-1 road1)
(build_straight_oneway junction0-2 junction2-2 road2)
(car_start junction2-2 car0 garage0)
(car_start junction2-1 car1 garage1)
(car_start junction2-0 car2 garage1)
(move_car_in_road junction0-0 junction2-0 car0 road0)
(move_car_in_road junction0-1 junction2-1 car1 road1)
(move_car_in_road junction0-2 junction2-2 car2 road2)
(move_car_out_road junction2-0 junction2-0 car0 road0)
(move_car_out_road junction2-1 junction2-1 car1 road1)
(move_car_out_road junction2-2 junction2-2 car2 road2)
(car_arrived junction2-2 car0)
(car_arrived junction2-1 car1)
(car_arrived junction2-0 car2)",15,False,6.666666666666667,1,3,14.110,3356,553
llama8,citycar,cot,instance-02,3,"(move_car_out_road junction2-0 junction2-0 car0 road0)
(move_car_out_road junction2-1 junction2-1 car1 road1)
(move_car_out_road junction2-2 junction2-2 car2 road2)
(car_arrived junction2-2 car0)
(car_arrived junction2-1 car1)
(car_arrived junction2-0 car2)
(build_straight_oneway junction0-1 junction2-1 road1)
(build_straight_oneway junction0-1 junction2-1 road1)
(Set (not (in_place road1)
(build_straight_oneway junction0-1 junction1-1 road3)
(build_straight_oneway junction1-1 junction2-1 road4)
(build_straight_oneway junction0-0 junction2-0 road0)
(build_straight_oneway junction0-2 junction2-2 road2)
(car_start junction2-2 car0 garage0)
(car_start junction2-1 car1 garage1)
(car_start junction2-0 car2 garage1)
(move_car_in_road junction0-0 junction2-0 car0 road0)
(move_car_in_road junction0-1 junction1-1 car1 road3)
(move_car_in_road junction0-2 junction2-2 car2 road2)
(move_car_in_road junction1-1 junction2-1 car1 road4)
(move_car_out_road junction2-0 junction2-0 car0 road0)
(move_car_out_road junction2-1 junction2-1 car1 road4)
(move_car_out_road junction2-2 junction2-2 car2 road2)
(car_arrived junction2-2 car0)
(car_arrived junction2-1 car1)
(car_arrived junction2-0 car2)",0,False,0.0,0,0,16.627,4325,638
llama8,citycar,cot,instance-03,1,"(move_car_in_road junction0-0 junction0-1 car0 road0)
(build_straight_oneway junction0-1 junction1-1 road1)
(move_car_in_road junction1-1 junction1-2 car0 road1)
(build_straight_oneway junction1-2 junction2-2 road2)
(move_car_in_road junction2-2 junction2-2 car0 road2)
(move_car_in_road junction0-2 junction1-2 car1 road3)
(build_straight_oneway junction1-2 junction2-2 road4)
(move_car_in_road junction2-2 junction2-2 car1 road4)
(move_car_in_road junction0-2 junction1-2 car2 road3)
(build_straight_oneway junction1-2 junction2-2 road4)
(move_car_in_road junction2-2 junction2-2 car2 road4)
(move_car_in_road junction0-2 junction1-2 car3 road3)
(build_straight_oneway junction1-2 junction2-2 road4)
(move_car_in_road junction2-2 junction2-2 car3 road4)
(car_arrived junction2-2 car0)
(car_arrived junction2-2 car1)
(car_arrived junction2-2 car2)
(car_arrived junction2-2 car3)",18,False,5.555555555555555,1,3,21.592,2622,856
llama8,citycar,cot,instance-03,2,"(move_car_in_road junction0-0 junction0-1 car0 road0)
(build_straight_oneway junction0-1 junction1-1 road1)
(move_car_in_road junction1-1 junction1-2 car0 road1)
(build_straight_oneway junction1-2 junction2-2 road2)
(move_car_in_road junction2-2 junction2-2 car0 road2)
(move_car_in_road junction0-2 junction1-2 car1 road3)
(build_straight_oneway junction1-2 junction2-2 road4)
(move_car_in_road junction2-2 junction2-2 car1 road4)
(move_car_in_road junction0-2 junction1-2 car2 road3)
(build_straight_oneway junction1-2 junction2-2 road4)
(move_car_in_road junction2-2 junction2-2 car2 road4)
(move_car_in_road junction0-2 junction1-2 car3 road3)
(build_straight_oneway junction1-2 junction2-2 road4)
(move_car_in_road junction2-2 junction2-2 car3 road4)
(car_start junction2-2 car0 garage0)
(car_start junction2-2 car1 garage1)
(car_start junction2-2 car2 garage1)
(car_start junction2-2 car3 garage1)
(car_arrived junction2-2 car0)
(car_arrived junction2-2 car1)
(car_arrived junction2-2 car2)
(car_arrived junction2-2 car3)",22,False,4.545454545454546,1,3,14.375,3837,560
llama8,citycar,cot,instance-03,3,"(car_start junction2-2 car2 garage1)
(car_start junction2-2 car3 garage1)
(car_arrived junction2-2 car0)
(car_arrived junction2-2 car1)
(car_arrived junction2-2 car2)
(car_arrived junction2-2 car3)",6,False,16.666666666666668,1,3,2.041,5196,68
llama8,citycar,cot,instance-03,4,"(car_start junction2-2 car2 garage1)
(car_start junction2-2 car3 garage1)
(car_arrived junction2-2 car0)
(car_arrived junction2-2 car1)
(car_arrived junction2-2 car2)
(car_arrived junction2-2 car3)",6,False,16.666666666666668,1,3,2.042,5657,68
