model,domain,prompting_condition,instance,iteration,plan_text,plan_len,solves_problem,valid_action_percent,consecutive_valid_steps,logical_violations,wallclock_s,prompt_tokens,completion_tokens
qwen25,tetris,cot,instance-01,1,"(at_two straight0 f0-1f f0-2f)
(at_two straight1 f1-1f f1-2f)
(at_two straight2 f2-1f f2-2f)
(at_two straight0 f1-1f f1-2f)
(at_two straight1 f2-1f f2-2f)
(at_two straight2 f3-1f f3-2f)
(move_square f0-0f f0-3f square0)
(move_l_down f3-1f f3-2f f3-3f f4-1f f4-3f rightl0)",0,False,0.0,0,0,81.118,4781,878
qwen25,tetris,cot,instance-02,1,"(at_two straight0 f0-1f f0-2f)
(at_two straight1 f1-0f f1-1f)
(at_two straight2 f2-0f f2-1f)
(at_two straight3 f3-0f f3-1f)
(at_two straight0 f1-1f f1-2f)
(at_two straight1 f2-0f f2-1f)
(at_two straight2 f3-0f f3-1f)
(at_two straight3 f4-0f f4-1f)
(move_square f0-0f f1-0f square0)
(move_two f0-1f f0-2f f1-2f straight0)
(move_two f1-0f f1-1f f2-1f straight1)
(move_two f2-0f f2-1f f3-1f straight2)
(move_two f3-0f f3-1f f4-1f straight3)
(move_l_down f6-0f f6-1f f6-2f f7-1f f7-2f rightl2)",0,False,0.0,0,0,160.445,5375,1968
qwen25,tetris,cot,instance-03,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight1 f1-2f f1-3f)
(at_two straight0 f2-0f f2-1f)
(at_two straight1 f2-2f f2-3f)
(move_square f0-0f f1-0f square0)
(move_square f0-1f f1-1f square1)
(move_square f0-2f f1-2f square2)
(move_square f0-3f f1-3f square3)
(move_two f1-0f f1-1f f2-0f straight0)
(move_two f1-2f f1-3f f2-2f straight1)
(move_l_down f2-0f f2-1f f2-2f f3-0f f3-1f rightl0)
(move_l_down f2-3f f3-3f f4-3f f3-3f f4-3f rightl1)",0,False,0.0,0,0,130.089,5385,1606
qwen25,tetris,cot,instance-04,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight1 f1-2f f1-3f)
(at_two straight2 f2-0f f2-1f)
(at_two straight0 f2-0f f2-1f)
(at_two straight1 f2-2f f2-3f)
(at_two straight2 f3-0f f3-1f)
(move_square f0-0f f1-0f square0)
(move_square f0-1f f1-1f square1)
(move_square f0-2f f1-2f square2)
(move_square f0-3f f1-3f square3)
(move_two f1-0f f1-1f f2-0f straight0)
(move_two f1-2f f1-3f f2-2f straight1)
(move_two f2-0f f2-1f f3-0f straight2)
(move_l_down f2-2f f2-3f f3-3f f3-2f f4-3f rightl0)
(move_l_down f3-0f f3-1f f3-2f f4-0f f4-2f rightl1)",0,False,0.0,0,0,139.605,5386,1720
qwen25,tetris,cot,instance-05,1,"(at_two straight0 f1-2f f1-3f)
(at_two straight0 f2-2f f2-3f)
(move_square f0-0f f1-0f square0)
(move_square f0-1f f1-1f square1)
(move_square f0-2f f1-2f square2)
(move_square f0-3f f1-3f square3)
(move_square f1-0f f2-0f square4)
(move_square f1-1f f2-1f square5)
(move_two f1-2f f1-3f f2-2f straight0)
(move_l_down f2-0f f2-1f f2-2f f3-0f f3-1f rightl0)
(move_l_down f5-0f f6-0f f7-0f f6-0f f7-0f rightl2)",0,False,0.0,0,0,165.548,5393,2028
qwen25,tetris,cot,instance-06,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight1 f1-2f f1-3f)
(at_two straight2 f2-0f f2-1f)
(at_two straight0 f2-0f f2-1f)
(at_two straight1 f2-2f f2-3f)
(at_two straight2 f3-0f f3-1f)
(move_square f0-0f f1-0f square0)
(move_square f0-1f f1-1f square1)
(move_square f0-2f f1-2f square2)
(move_square f0-3f f1-3f square3)
(move_two f1-0f f1-1f f2-0f straight0)
(move_two f1-2f f1-3f f2-2f straight1)
(move_two f2-0f f2-1f f3-0f straight2)
(move_l_down f2-2f f2-3f f3-3f f3-2f f4-3f rightl0)",0,False,0.0,0,0,140.877,5385,1735
qwen25,tetris,cot,instance-07,1,"(move_l_down f1-0f f1-1f f1-2f f2-0f f2-1f rightl0)
(move_l_down f2-0f f2-1f f2-2f f3-0f f3-1f rightl1)
(move_l_down f3-0f f3-1f f3-2f f4-0f f4-1f rightl2)
(move_l_down f4-0f f4-1f f4-2f f5-0f f5-1f rightl3)
(move_l_down f5-0f f5-1f f5-2f f6-0f f6-1f rightl4)
(move_l_down f6-0f f6-1f f6-2f f7-0f f7-1f rightl5)
(move_square f0-0f f1-0f square0)
(move_square f1-0f f2-0f square0)
(move_square f2-0f f3-0f square0)
(move_square f3-0f f4-0f square0)
(move_square f4-0f f5-0f square0)
(move_square f5-0f f6-0f square0)
(move_square f6-0f f7-0f square0)
(move_square f7-0f f8-0f square0)
(move_square f8-0f f9-0f square0)
(move_square f9-0f f10-0f square0)
(move_square f10-0f f11-0f square0)
(move_square f0-1f f1-1f square1)
(move_square f1-1f f2-1f square1)
(move_square f2-1f f3-1f square1)
(move_square f3-1f f4-1f square1)
(move_square f4-1f f5-1f square1)
(move_square f5-1f f6-1f square1)
(move_square f6-1f f7-1f square1)
(move_square f7-1f f8-1f square1)
(move_square f8-1f f9-1f square1)
(move_square f9-1f f10-1f square1)
(move_square f10-1f f11-1f square1)
(move_square f0-2f f1-2f square2)
(move_square f1-2f f2-2f square2)
(move_square f2-2f f3-2f square2)
(move_square f3-2f f4-2f square2)
(move_square f4-2f f5-2f square2)
(move_square f5-2f f6-2f square2)
(move_square f6-2f f7-2f square2)
(move_square f7-2f f8-2f square2)
(move_square f8-2f f9-2f square2)
(move_square f9-2f f10-2f square2)
(move_square f10-2f f11-2f square2)
(move_square f0-3f f1-3f square3)
(move_square f1-3f f2-3f square3)
(move_square f2-3f f3-3f square3)
(move_square f3-3f f4-3f square3)
(move_square f4-3f f5-3f square3)
(move_square f5-3f f6-3f square3)
(move_square f6-3f f7-3f square3)
(move_square f7-3f f8-3f square3)
(move_square f8-3f f9-3f square3)
(move_square f9-3f f10-3f square3)
(move_square f10-3f f11-3f square3)",50,False,2.0,1,3,275.595,5389,3292
qwen25,tetris,cot,instance-07,2,"(move_l_down f1-0f f1-1f f1-2f f2-0f f2-1f rightl0)
(move_l_down f2-0f f2-1f f2-2f f3-0f f3-1f rightl1)
(move_l_down f3-0f f3-1f f3-2f f4-0f f4-1f rightl2)
(move_l_down f4-0f f4-1f f4-2f f5-0f f5-1f rightl3)
(move_l_down f5-0f f5-1f f5-2f f6-0f f6-1f rightl4)
(move_l_down f6-0f f6-1f f6-2f f7-0f f7-1f rightl5)
(move_square f0-0f f1-0f square0)
(move_square f1-0f f2-0f square0)
(move_square f2-0f f3-0f square0)
(move_square f3-0f f4-0f square0)
(move_square f4-0f f5-0f square0)
(move_square f5-0f f6-0f square0)
(move_square f6-0f f7-0f square0)
(move_square f7-0f f8-0f square0)
(move_square f8-0f f9-0f square0)
(move_square f9-0f f10-0f square0)
(move_square f10-0f f11-0f square0)
(move_square f0-1f f1-1f square1)
(move_square f1-1f f2-1f square1)
(move_square f2-1f f3-1f square1)
(move_square f3-1f f4-1f square1)
(move_square f4-1f f5-1f square1)
(move_square f5-1f f6-1f square1)
(move_square f6-1f f7-1f square1)
(move_square f7-1f f8-1f square1)
(move_square f8-1f f9-1f square1)
(move_square f9-1f f10-1f square1)
(move_square f10-1f f11-1f square1)
(move_square f0-2f f1-2f square2)
(move_square f1-2f f2-2f square2)
(move_square f2-2f f3-2f square2)
(move_square f3-2f f4-2f square2)
(move_square f4-2f f5-2f square2)
(move_square f5-2f f6-2f square2)
(move_square f6-2f f7-2f square2)
(move_square f7-2f f8-2f square2)
(move_square f8-2f f9-2f square2)
(move_square f9-2f f10-2f square2)
(move_square f10-2f f11-2f square2)
(move_square f0-3f f1-3f square3)
(move_square f1-3f f2-3f square3)
(move_square f2-3f f3-3f square3)
(move_square f3-3f f4-3f square3)
(move_square f4-3f f5-3f square3)
(move_square f5-3f f6-3f square3)
(move_square f6-3f f7-3f square3)
(move_square f7-3f f8-3f square3)
(move_square f8-3f f9-3f square3)
(move_square f9-3f f10-3f square3)
(move_square f10-3f f11-3f square3)",50,False,2.0,1,3,261.491,9673,3132
qwen25,tetris,cot,instance-07,3,"(move_square f0-0f f11-0f square0)
(move_square f0-1f f11-1f square1)
(move_square f0-2f f11-2f square2)
(move_square f0-3f f11-3f square3)",4,False,25.0,1,3,124.671,13957,1538
qwen25,tetris,cot,instance-07,4,"(move_l_down f1-0f f1-1f f1-2f f2-0f f2-1f rightl0)
(move_l_down f2-0f f2-1f f2-2f f3-0f f3-1f rightl1)
(move_l_down f3-0f f3-1f f3-2f f4-0f f4-1f rightl2)
(move_l_down f4-0f f4-1f f4-2f f5-0f f5-1f rightl3)
(move_l_down f5-0f f5-1f f5-2f f6-0f f6-1f rightl4)
(move_l_down f6-0f f6-1f f6-2f f7-0f f7-1f rightl5)
(move_square f0-0f f1-0f square0)
(move_square f1-0f f2-0f square0)
(move_square f2-0f f3-0f square0)
(move_square f3-0f f4-0f square0)
(move_square f4-0f f5-0f square0)
(move_square f5-0f f6-0f square0)
(move_square f6-0f f7-0f square0)
(move_square f7-0f f8-0f square0)
(move_square f8-0f f9-0f square0)
(move_square f9-0f f10-0f square0)
(move_square f10-0f f11-0f square0)
(move_square f0-1f f1-1f square1)
(move_square f1-1f f2-1f square1)
(move_square f2-1f f3-1f square1)
(move_square f3-1f f4-1f square1)
(move_square f4-1f f5-1f square1)
(move_square f5-1f f6-1f square1)
(move_square f6-1f f7-1f square1)
(move_square f7-1f f8-1f square1)
(move_square f8-1f f9-1f square1)
(move_square f9-1f f10-1f square1)
(move_square f10-1f f11-1f square1)
(move_square f0-2f f1-2f square2)
(move_square f1-2f f2-2f square2)
(move_square f2-2f f3-2f square2)
(move_square f3-2f f4-2f square2)
(move_square f4-2f f5-2f square2)
(move_square f5-2f f6-2f square2)
(move_square f6-2f f7-2f square2)
(move_square f7-2f f8-2f square2)
(move_square f8-2f f9-2f square2)
(move_square f9-2f f10-2f square2)
(move_square f10-2f f11-2f square2)
(move_square f0-3f f1-3f square3)
(move_square f1-3f f2-3f square3)
(move_square f2-3f f3-3f square3)
(move_square f3-3f f4-3f square3)
(move_square f4-3f f5-3f square3)
(move_square f5-3f f6-3f square3)
(move_square f6-3f f7-3f square3)
(move_square f7-3f f8-3f square3)
(move_square f8-3f f9-3f square3)
(move_square f9-3f f10-3f square3)
(move_square f10-3f f11-3f square3)",50,False,2.0,1,3,261.834,15591,3134
