model,domain,prompting_condition,instance,iteration,plan_text,plan_len,solves_problem,valid_action_percent,consecutive_valid_steps,logical_violations,wallclock_s,prompt_tokens,completion_tokens
qwen25,citycar,cot,instance-01,1,"(car_start junction0-0 car0 garage0)
(build_straight_oneway junction0-0 junction1-0 road0)
(move_car_in_road junction0-0 junction1-0 car0 road0)
(move_car_out_road junction1-0 junction1-0 car0 road0)
(build_straight_oneway junction1-0 junction2-0 road1)
(move_car_in_road junction1-0 junction2-0 car0 road1)
(move_car_out_road junction2-0 junction2-0 car0 road1)
(car_arrived junction2-0 car0)
(car_start junction0-0 car1 garage1)
(build_straight_oneway junction0-0 junction1-0 road2)
(move_car_in_road junction0-0 junction1-0 car1 road2)
(move_car_out_road junction1-0 junction1-0 car1 road2)
(build_straight_oneway junction1-0 junction1-1 road3)
(move_car_in_road junction1-0 junction1-1 car1 road3)
(move_car_out_road junction1-1 junction1-1 car1 road3)
(build_straight_oneway junction1-1 junction2-1 road4)
(move_car_in_road junction1-1 junction2-1 car1 road4)
(move_car_out_road junction2-1 junction2-1 car1 road4)
(car_arrived junction2-1 car1)",19,False,21.05263157894737,4,3,47.851,2568,496
qwen25,citycar,cot,instance-01,2,"(car_start junction0-0 car0 garage0)
(build_straight_oneway junction0-0 junction1-0 road0)
(move_car_in_road junction0-0 junction1-0 car0 road0)
(move_car_out_road junction1-0 junction1-1 car0 road0)
(build_straight_oneway junction1-1 junction2-1 road1)
(move_car_in_road junction1-1 junction2-1 car0 road1)
(move_car_out_road junction2-1 junction2-1 car0 road1)
(car_arrived junction2-1 car0)
(car_start junction0-0 car1 garage1)
(build_straight_oneway junction0-0 junction1-0 road2)
(move_car_in_road junction0-0 junction1-0 car1 road2)
(move_car_out_road junction1-0 junction1-1 car1 road2)
(build_straight_oneway junction1-0 junction2-0 road3)
(move_car_in_road junction1-0 junction2-0 car1 road3)
(move_car_out_road junction2-0 junction2-0 car1 road3)
(car_arrived junction2-0 car1)",16,False,25.0,4,3,20.505,3975,250
qwen25,citycar,cot,instance-01,3,"(car_start junction0-0 car1 garage1)
(build_straight_oneway junction0-0 junction1-0 road2)
(move_car_in_road junction0-0 junction1-0 car1 road2)
(move_car_out_road junction1-0 junction1-1 car1 road2)
(build_straight_oneway junction1-0 junction2-0 road3)
(move_car_in_road junction1-0 junction2-0 car1 road3)
(move_car_out_road junction2-0 junction2-0 car1 road3)
(car_arrived junction2-0 car1)",8,False,50.0,4,3,11.187,5191,129
qwen25,citycar,cot,instance-01,4,"(car_start junction0-0 car1 garage1)
(build_straight_oneway junction0-0 junction1-0 road2)
(move_car_in_road junction0-0 junction1-0 car1 road2)
(move_car_out_road junction1-0 junction1-1 car1 road2)
(build_straight_oneway junction1-0 junction2-0 road3)
(move_car_in_road junction1-0 junction2-0 car1 road3)
(move_car_out_road junction2-0 junction2-0 car1 road3)
(car_arrived junction2-0 car1)",8,False,50.0,4,3,11.184,6000,129
qwen25,citycar,cot,instance-02,1,"(car_start junction0-1 car0 garage1)
(car_start junction0-0 car1 garage0)
(car_start junction0-1 car2 garage1)
(build_straight_oneway junction0-0 junction1-0 road0)
(build_straight_oneway junction0-1 junction1-1 road1)
(build_straight_oneway junction1-0 junction2-0 road2)
(build_straight_oneway junction1-1 junction2-1 road3)
(move_car_in_road junction0-0 junction1-0 car1 road0)
(move_car_out_road junction1-0 junction2-0 car1 road0)
(car_arrived junction2-0 car1)
(move_car_in_road junction0-1 junction1-1 car0 road1)
(move_car_out_road junction1-1 junction2-1 car0 road1)
(car_arrived junction2-1 car0)
(move_car_in_road junction0-1 junction1-1 car2 road1)
(move_car_out_road junction1-1 junction1-0 car2 road1)
(build_straight_oneway junction1-0 junction2-0 road2)
(move_car_in_road junction1-0 junction2-0 car2 road2)
(car_arrived junction2-0 car2)",18,False,16.666666666666668,3,3,40.762,2586,549
qwen25,citycar,cot,instance-02,2,"(car_start junction0-1 car0 garage1)
(car_start junction0-0 car1 garage0)
(build_straight_oneway junction0-0 junction1-0 road0)
(build_straight_oneway junction0-1 junction1-1 road1)
(move_car_in_road junction0-0 junction1-0 car1 road0)
(move_car_out_road junction1-0 junction2-0 car1 road0)
(car_arrived junction2-0 car1)
(move_car_in_road junction0-1 junction1-1 car0 road1)
(move_car_out_road junction1-1 junction2-1 car0 road1)
(car_arrived junction2-1 car0)
(car_start junction0-1 car2 garage1)
(build_straight_oneway junction1-1 junction2-1 road3)
(build_straight_oneway junction1-0 junction2-0 road2)
(move_car_in_road junction0-1 junction1-1 car2 road1)
(move_car_out_road junction1-1 junction1-0 car2 road1)
(move_car_in_road junction1-0 junction2-0 car2 road2)
(car_arrived junction2-0 car2)",17,False,35.294117647058826,6,3,20.453,3785,253
qwen25,citycar,cot,instance-02,3,,0,False,0.0,0,0,90.238,5094,1122
qwen25,citycar,cot,instance-02,4,,0,False,0.0,0,0,91.538,6244,1138
qwen25,citycar,cot,instance-03,1,"(car_start junction0-0 car0 garage0)
(build_straight_oneway junction0-0 junction1-0 road0)
(move_car_in_road junction0-0 junction1-0 car0 road0)
(move_car_out_road junction1-0 junction1-0 car0 road0)
(build_straight_oneway junction1-0 junction2-0 road1)
(move_car_in_road junction1-0 junction2-0 car0 road1)
(move_car_out_road junction2-0 junction2-0 car0 road1)
(build_straight_oneway junction2-0 junction2-1 road2)
(move_car_in_road junction2-0 junction2-1 car0 road2)
(move_car_out_road junction2-1 junction2-1 car0 road2)
(build_straight_oneway junction2-1 junction2-2 road3)
(move_car_in_road junction2-1 junction2-2 car0 road3)
(move_car_out_road junction2-2 junction2-2 car0 road3)
(car_arrived junction2-2 car0)
(car_start junction0-2 car1 garage1)
(build_straight_oneway junction0-2 junction1-2 road4)
(move_car_in_road junction0-2 junction1-2 car1 road4)
(move_car_out_road junction1-2 junction1-2 car1 road4)
(build_straight_oneway junction1-2 junction2-2 road5)
(move_car_in_road junction1-2 junction2-2 car1 road5)
(move_car_out_road junction2-2 junction2-2 car1 road5)
(car_arrived junction2-2 car1)
(car_start junction0-2 car2 garage1)
(build_straight_oneway junction0-2 junction1-2 road6)
(move_car_in_road junction0-2 junction1-2 car2 road6)
(move_car_out_road junction1-2 junction1-2 car2 road6)
(build_straight_oneway junction1-2 junction2-2 road7)
(move_car_in_road junction1-2 junction2-2 car2 road7)
(move_car_out_road junction2-2 junction2-2 car2 road7)
(car_arrived junction2-2 car2)
(car_start junction0-2 car3 garage1)
(build_straight_oneway junction0-2 junction1-2 road8)
(move_car_in_road junction0-2 junction1-2 car3 road8)
(move_car_out_road junction1-2 junction1-2 car3 road8)
(build_straight_oneway junction1-2 junction2-2 road9)
(move_car_in_road junction1-2 junction2-2 car3 road9)
(move_car_out_road junction2-2 junction2-2 car3 road9)
(car_arrived junction2-2 car3)",0,False,0.0,0,0,65.018,2604,874
qwen25,citycar,cot,instance-03,2,"(car_start junction0-0 car0 garage0)
(build_straight_oneway junction0-0 junction1-0 road0)
(move_car_in_road junction0-0 junction1-0 car0 road0)
(move_car_out_road junction1-0 junction1-0 car0 road0)
(build_straight_oneway junction1-0 junction2-0 road1)
(move_car_in_road junction1-0 junction2-0 car0 road1)
(move_car_out_road junction2-0 junction2-0 car0 road1)
(build_straight_oneway junction2-0 junction2-1 road2)
(move_car_in_road junction2-0 junction2-1 car0 road2)
(move_car_out_road junction2-1 junction2-1 car0 road2)
(build_straight_oneway junction2-1 junction2-2 road3)
(move_car_in_road junction2-1 junction2-2 car0 road3)
(move_car_out_road junction2-2 junction2-2 car0 road3)
(car_arrived junction2-2 car0)
(car_start junction0-2 car1 garage1)
(build_straight_oneway junction0-2 junction1-2 road4)
(move_car_in_road junction0-2 junction1-2 car1 road4)
(move_car_out_road junction1-2 junction1-2 car1 road4)
(build_straight_oneway junction1-2 junction2-2 road3)
(move_car_in_road junction1-2 junction2-2 car1 road3)
(move_car_out_road junction2-2 junction2-2 car1 road3)
(car_arrived junction2-2 car1)
(car_start junction0-2 car2 garage1)
(build_straight_oneway junction0-2 junction1-2 road4)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction1-2 car2 road4)
(build_straight_oneway junction1-2 junction2-2 road3)
(move_car_in_road junction1-2 junction2-2 car2 road3)
(move_car_out_road junction2-2 junction2-2 car2 road3)
(car_arrived junction2-2 car2)
(car_start junction0-2 car3 garage1)
(build_straight_oneway junction0-2 junction1-2 road4)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction1-2 car3 road4)
(build_straight_oneway junction1-2 junction2-2 road3)
(move_car_in_road junction1-2 junction2-2 car3 road3)
(move_car_out_road junction2-2 junction2-2 car3 road3)
(car_arrived junction2-2 car3)",38,False,10.526315789473685,4,3,48.278,3982,604
