model,domain,prompting_condition,instance,iteration,plan_text,plan_len,solves_problem,valid_action_percent,consecutive_valid_steps,logical_violations,wallclock_s,prompt_tokens,completion_tokens
llama8,citycar,baseline,instance-01,1,"(build_straight_oneway junction0-0 junction1-0 road0)
(build_straight_oneway junction1-0 junction2-0 road1)
(build_straight_oneway junction0-0 junction1-1 road2)
(build_straight_oneway junction1-1 junction2-1 road3)
(car_start junction0-0 car0 garage0)
(car_start junction0-0 car1 garage1)
(move_car_in_road junction0-0 junction1-0 car0 road0)
(move_car_in_road junction1-0 junction2-0 car0 road1)
(move_car_in_road junction0-0 junction1-1 car1 road2)
(move_car_in_road junction1-1 junction2-1 car1 road3)
(car_arrived junction2-0 car0)
(car_arrived junction2-1 car1)",12,False,25.0,3,3,23.937,2490,540
llama8,citycar,baseline,instance-01,2,"(build_straight_oneway junction0-0 junction1-0 road0)
(build_straight_oneway junction1-0 junction2-0 road1)
(build_straight_oneway junction0-1 junction1-1 road2)
(build_straight_oneway junction1-1 junction2-1 road3)
(car_start junction0-0 car0 garage0)
(car_start junction0-1 car1 garage1)
(move_car_in_road junction0-0 junction1-0 car0 road0)
(move_car_in_road junction1-0 junction2-0 car0 road1)
(move_car_in_road junction0-1 junction1-1 car1 road2)
(move_car_in_road junction1-1 junction2-1 car1 road3)
(car_arrived junction2-0 car0)
(car_arrived junction2-1 car1)",12,False,50.0,6,3,4.719,3413,178
llama8,citycar,baseline,instance-01,3,"(car_arrived junction2-0 car0)
(car_arrived junction2-1 car1)
(in_place road0)
(in_place road1)
(in_place road2)
(in_place road3)
(at_car_jun car0 junction1-0)
(at_car_jun car1 junction1-1)
(move_car_in_road junction1-1 junction2-1 car1 road3)
(move_car_in_road junction1-1 junction2-1 car1 road3)
(build_straight_oneway junction0-0 junction1-0 road0)
(build_straight_oneway junction1-0 junction2-0 road1)
(move_car_out_road junction0-0 junction1-0 car0 road0)
(move_car_in_road junction1-0 junction2-0 car0 road1)
(build_straight_oneway junction0-1 junction1-1 road2)
(move_car_out_road junction0-1 junction1-1 car1 road2)
(move_car_in_road junction1-1 junction2-1 car1 road3)
(car_arrived junction2-0 car0)
(car_arrived junction2-1 car1)",0,False,0.0,0,0,15.871,4447,612
llama8,citycar,baseline,instance-02,1,"(build_straight_oneway junction0-1 junction1-1 road0)
(move_car_in_road junction0-1 junction1-1 car0 road0)
(move_car_in_road junction1-1 junction2-1 car0 road1)
(move_car_in_road junction2-1 junction2-2 car0 road2)
(build_straight_oneway junction0-0 junction1-0 road3)
(move_car_in_road junction0-0 junction1-0 car1 road3)
(move_car_in_road junction1-0 junction2-0 car1 road4)
(move_car_in_road junction2-0 junction2-1 car1 road5)
(build_straight_oneway junction0-1 junction1-1 road6)
(move_car_in_road junction0-1 junction1-1 car2 road6)
(move_car_in_road junction1-1 junction2-1 car2 road1)
(move_car_in_road junction2-1 junction2-0 car2 road4)
(car_arrived junction2-2 car0)
(car_arrived junction2-1 car1)
(car_arrived junction2-0 car2)",0,False,0.0,0,0,18.424,2508,733
llama8,citycar,baseline,instance-02,2,"(build_straight_oneway junction0-1 junction1-1 road0)
(move_car_in_road junction0-1 junction1-1 car0 road0)
(move_car_in_road junction1-1 junction2-1 car0 road1)
(move_car_in_road junction2-1 junction2-2 car0 road2)
(build_straight_oneway junction0-0 junction1-0 road3)
(move_car_in_road junction0-0 junction1-0 car1 road3)
(move_car_in_road junction1-0 junction2-0 car1 road4)
(move_car_in_road junction2-0 junction2-1 car1 road5)
(build_straight_oneway junction0-1 junction1-1 road6)
(move_car_in_road junction0-1 junction1-1 car2 road6)
(move_car_in_road junction1-1 junction2-1 car2 road1)
(move_car_in_road junction2-1 junction2-0 car2 road4)
(build_straight_oneway junction2-1 junction2-2 road7)
(move_car_in_road junction2-1 junction2-2 car0 road7)
(car_arrived junction2-2 car0)
(car_arrived junction2-1 car1)
(car_arrived junction2-0 car2)",0,False,0.0,0,0,7.101,3158,274
llama8,citycar,baseline,instance-02,3,"(build_straight_oneway junction0-1 junction1-1 road0)
(move_car_in_road junction0-1 junction1-1 car0 road0)
(move_car_in_road junction1-1 junction2-1 car0 road1)
(move_car_in_road junction2-1 junction2-2 car0 road2)
(build_straight_oneway junction0-0 junction1-0 road3)
(move_car_in_road junction0-0 junction1-0 car1 road3)
(move_car_in_road junction1-0 junction2-0 car1 road4)
(build_straight_oneway junction2-0 junction2-1 road5)
(move_car_in_road junction2-0 junction2-1 car1 road5)
(move_car_in_road junction2-1 junction2-2 car1 road2)
(build_straight_oneway junction0-1 junction1-1 road6)
(move_car_in_road junction0-1 junction1-1 car2 road6)
(move_car_in_road junction1-1 junction2-1 car2 road1)
(move_car_in_road junction2-1 junction2-0 car2 road4)
(car_arrived junction2-2 car0)
(car_arrived junction2-1 car1)
(car_arrived junction2-0 car2)",0,False,0.0,0,0,7.153,3878,274
llama8,citycar,baseline,instance-02,4,"(move_car_in_road junction2-1 junction2-0 car2 road4)
(car_arrived junction2-2 car0)
(car_arrived junction2-1 car1)
(car_arrived junction2-0 car2)",4,False,25.0,1,3,1.757,4594,57
llama8,citycar,baseline,instance-03,1,"(build_straight_oneway junction0-0 junction1-0 road0)
(move_car_in_road junction0-0 junction1-0 car0 road0)
(move_car_out_road junction1-0 junction2-0 car0 road1)
(build_straight_oneway junction1-0 junction2-0 road1)
(move_car_in_road junction1-0 junction2-0 car0 road1)
(move_car_out_road junction2-0 junction2-2 car0 road2)
(build_straight_oneway junction0-2 junction1-2 road3)
(move_car_in_road junction0-2 junction1-2 car1 road3)
(move_car_out_road junction1-2 junction2-2 car1 road4)
(build_straight_oneway junction1-2 junction2-2 road4)
(move_car_in_road junction1-2 junction2-2 car1 road4)
(car_arrived junction2-2 car0)
(car_arrived junction2-2 car1)
(car_arrived junction2-2 car2)
(car_arrived junction2-2 car3)",15,False,13.333333333333334,2,3,16.421,2526,654
llama8,citycar,baseline,instance-03,2,"(car_start junction2-2 car0 garage0)
(car_start junction2-2 car1 garage1)
(car_start junction2-2 car2 garage1)
(car_start junction2-2 car3 garage1)
(build_straight_oneway junction0-0 junction1-0 road0)
(move_car_in_road junction0-0 junction1-0 car0 road0)
(move_car_out_road junction1-0 junction2-0 car0 road1)
(build_straight_oneway junction1-0 junction2-0 road1)
(move_car_in_road junction1-0 junction2-0 car0 road1)
(move_car_out_road junction2-0 junction2-2 car0 road2)
(build_straight_oneway junction0-2 junction1-2 road3)
(move_car_in_road junction0-2 junction1-2 car1 road3)
(move_car_out_road junction1-2 junction2-2 car1 road4)
(build_straight_oneway junction1-2 junction2-2 road4)
(move_car_in_road junction1-2 junction2-2 car1 road4)
(car_arrived junction2-2 car0)
(car_arrived junction2-2 car1)
(car_arrived junction2-2 car2)
(car_arrived junction2-2 car3)",19,False,5.2631578947368425,1,3,7.072,3579,274
llama8,citycar,baseline,instance-03,3,,0,False,0.0,0,0,53.684,4711,2028
llama8,citycar,baseline,instance-03,4,,0,False,0.0,0,0,39.164,6703,1496
llama8,citycar,baseline,instance-04,1,"(car_start junction2-0 car0 garage0)
(car_start junction2-2 car1 garage1)
(car_start junction2-1 car2 garage0)
(car_start junction2-2 car3 garage1)
(car_start junction2-1 car4 garage0)
(build_straight_oneway junction0-2 junction1-0 road0)
(build_straight_oneway junction1-0 junction2-0 road1)
(build_straight_oneway junction0-1 junction1-1 road2)
(build_straight_oneway junction1-1 junction2-1 road3)
(build_straight_oneway junction0-2 junction1-2 road4)
(move_car_in_road junction0-2 junction1-0 car0 road0)
(move_car_in_road junction1-0 junction2-0 car0 road1)
(move_car_in_road junction0-1 junction1-1 car1 road2)
(move_car_in_road junction1-1 junction2-1 car1 road3)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_in_road junction1-2 junction2-1 car2 road3)
(move_car_in_road junction0-2 junction1-0 car3 road0)
(move_car_in_road junction1-0 junction2-0 car3 road1)
(move_car_in_road junction0-1 junction1-1 car4 road2)
(move_car_in_road junction1-1 junction2-1 car4 road3)
(move_car_in_road junction1-2 junction2-1 car4 road3)
(car_arrived junction2-0 car0)
(car_arrived junction2-2 car1)
(car_arrived junction2-1 car2)
(car_arrived junction2-2 car3)
(car_arrived junction2-1 car4)",26,False,3.8461538461538463,1,3,13.726,2544,545
llama8,citycar,baseline,instance-04,2,"(build_straight_oneway junction0-2 junction1-0 road0)
(build_straight_oneway junction1-0 junction2-0 road1)
(build_straight_oneway junction0-1 junction1-1 road2)
(build_straight_oneway junction1-1 junction2-1 road3)
(build_straight_oneway junction0-2 junction1-2 road4)
(move_car_in_road junction0-2 junction1-0 car0 road0)
(move_car_in_road junction1-0 junction2-0 car0 road1)
(move_car_in_road junction0-1 junction1-1 car1 road2)
(move_car_in_road junction1-1 junction2-1 car1 road3)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_in_road junction1-2 junction2-1 car2 road3)
(move_car_in_road junction0-2 junction1-0 car3 road0)
(move_car_in_road junction1-0 junction2-0 car3 road1)
(move_car_in_road junction0-1 junction1-1 car4 road2)
(move_car_in_road junction1-1 junction2-1 car4 road3)
(move_car_in_road junction1-2 junction2-1 car4 road3)
(car_start junction0-2 car0 garage0)
(car_start junction0-1 car1 garage1)
(car_start junction0-2 car2 garage0)
(car_start junction0-1 car3 garage1)
(car_start junction0-2 car4 garage0)
(car_arrived junction2-0 car0)
(car_arrived junction2-2 car1)
(car_arrived junction2-1 car2)
(car_arrived junction2-2 car3)
(car_arrived junction2-1 car4)",26,False,3.8461538461538463,1,3,9.867,3647,383
llama8,citycar,baseline,instance-04,3,,0,False,0.0,0,0,32.217,5139,1239
llama8,citycar,baseline,instance-04,4,,0,False,0.0,0,0,35.767,6369,1369
llama8,citycar,baseline,instance-05,1,"(build_straight_oneway junction0-1 junction1-1 road0)
(move_car_in_road junction0-1 junction1-1 car0 road0)
(move_car_out_road junction1-1 junction2-1 car0 road0)
(build_straight_oneway junction0-1 junction1-2 road1)
(move_car_in_road junction0-1 junction1-2 car1 road1)
(move_car_out_road junction1-2 junction2-2 car1 road1)
(build_straight_oneway junction0-1 junction1-2 road2)
(move_car_in_road junction0-1 junction1-2 car2 road2)
(move_car_out_road junction1-2 junction2-2 car2 road2)
(build_straight_oneway junction0-1 junction1-1 road3)
(move_car_in_road junction0-1 junction1-1 car3 road3)
(move_car_out_road junction1-1 junction2-2 car3 road3)
(build_straight_oneway junction0-1 junction1-1 road4)
(move_car_in_road junction0-1 junction1-1 car4 road4)
(move_car_out_road junction1-1 junction2-2 car4 road4)
(move_car_out_road junction2-1 junction2-2 car0)
(move_car_out_road junction2-2 junction2-2 car1)
(move_car_out_road junction2-2 junction2-2 car2)
(move_car_out_road junction2-2 junction2-2 car3)
(move_car_out_road junction2-2 junction2-2 car4)
(car_arrived junction2-1 car0)
(car_arrived junction2-2 car1)
(car_arrived junction2-2 car2)
(car_arrived junction2-2 car3)
(car_arrived junction2-1 car4)",0,False,0.0,0,0,26.846,2544,1060
llama8,citycar,baseline,instance-05,2,"(build_straight_oneway junction0-1 junction1-1 road0)
(move_car_in_road junction0-1 junction1-1 car0 road0)
(move_car_out_road junction1-1 junction2-1 car0 road0)
(build_straight_oneway junction1-1 junction2-1 road1)
(move_car_in_road junction1-1 junction2-1 car1 road1)
(move_car_out_road junction2-1 junction2-1 car1 road1)
(car_arrived junction2-1 car0)
(car_arrived junction2-1 car1)
(build_straight_oneway junction0-1 junction1-2 road2)
(move_car_in_road junction0-1 junction1-2 car2 road2)
(move_car_out_road junction1-2 junction2-2 car2 road2)
(car_arrived junction2-2 car2)
(build_straight_oneway junction0-1 junction1-2 road3)
(move_car_in_road junction0-1 junction1-2 car3 road3)
(move_car_out_road junction1-2 junction2-2 car3 road3)
(car_arrived junction2-2 car3)
(build_straight_oneway junction0-1 junction1-2 road4)
(move_car_in_road junction0-1 junction1-2 car4 road4)
(move_car_out_road junction1-2 junction2-2 car4 road4)
(car_arrived junction2-2 car4)",20,False,10.0,2,3,8.105,3369,310
llama8,citycar,baseline,instance-05,3,"(build_straight_oneway junction0-1 junction1-1 road0)
(move_car_in_road junction0-1 junction1-1 car0 road0)
(move_car_out_road junction1-1 junction2-1 car0 road0)
(build_straight_oneway junction1-1 junction2-1 road1)
(move_car_in_road junction1-1 junction2-1 car1 road1)
(move_car_out_road junction2-1 junction2-1 car1 road1)
(car_arrived junction2-1 car0)
(car_arrived junction2-1 car1)
(build_straight_oneway junction0-1 junction1-2 road2)
(move_car_in_road junction0-1 junction1-2 car2 road2)
(move_car_out_road junction1-2 junction2-2 car2 road2)
(car_arrived junction2-2 car2)
(build_straight_oneway junction0-1 junction1-2 road3)
(move_car_in_road junction0-1 junction1-2 car3 road3)
(move_car_out_road junction1-2 junction2-2 car3 road3)
(car_arrived junction2-2 car3)
(build_straight_oneway junction0-1 junction1-2 road4)
(move_car_in_road junction0-1 junction1-2 car4 road4)
(move_car_out_road junction1-2 junction2-2 car4 road4)
(car_arrived junction2-2 car4)",20,False,10.0,2,3,11.847,4671,453
llama8,citycar,baseline,instance-05,4,,0,False,0.0,0,0,114.661,6077,4096
llama8,citycar,baseline,instance-06,1,"(car_start junction0-0 car0 garage1)
(car_start junction0-0 car1 garage0)
(build_straight_oneway junction0-0 junction1-0 road0)
(build_straight_oneway junction0-0 junction1-3 road1)
(move_car_in_road junction0-0 junction1-0 car0 road0)
(move_car_in_road junction0-0 junction1-3 car1 road1)
(build_straight_oneway junction1-0 junction2-0 road2)
(build_straight_oneway junction1-3 junction2-3 road3)
(move_car_in_road junction1-0 junction2-0 car0 road2)
(move_car_in_road junction1-3 junction2-3 car1 road3)
(move_car_in_road junction2-0 junction3-0 car0 road4)
(move_car_in_road junction2-3 junction3-3 car1 road5)
(car_arrived junction3-0 car0)
(car_arrived junction3-3 car1)",14,False,14.285714285714286,2,3,16.807,3078,655
llama8,citycar,baseline,instance-06,2,"(car_start junction0-0 car0 garage1)
(car_start junction0-0 car1 garage0)
(build_straight_oneway junction0-0 junction1-0 road0)
(build_straight_oneway junction0-0 junction1-3 road1)
(move_car_in_road junction0-0 junction1-0 car0 road0)
(move_car_in_road junction0-0 junction1-3 car1 road1)
(build_straight_oneway junction1-0 junction2-0 road2)
(build_straight_oneway junction1-3 junction2-3 road3)
(move_car_in_road junction1-0 junction2-0 car0 road2)
(move_car_in_road junction1-3 junction2-3 car1 road3)
(build_straight_oneway junction2-0 junction3-0 road4)
(build_straight_oneway junction2-3 junction3-3 road5)
(move_car_in_road junction2-0 junction3-0 car0 road4)
(move_car_in_road junction2-3 junction3-3 car1 road5)
(car_arrived junction3-0 car0)
(car_arrived junction3-3 car1)",16,False,12.5,2,3,6.551,4051,246
llama8,citycar,baseline,instance-06,3,"(move_car_in_road junction0-0 junction1-0 car0 road0)
(move_car_in_road junction0-0 junction1-3 car1 road1)
(build_straight_oneway junction1-0 junction2-0 road2)
(build_straight_oneway junction1-3 junction2-3 road3)
(move_car_in_road junction1-0 junction2-0 car0 road2)
(move_car_in_road junction1-3 junction2-3 car1 road3)
(build_straight_oneway junction2-0 junction3-0 road4)
(build_straight_oneway junction2-3 junction3-3 road5)
(move_car_in_road junction2-0 junction3-0 car0 road4)
(move_car_in_road junction2-3 junction3-3 car1 road5)
(car_arrived junction3-0 car0)
(car_arrived junction3-3 car1)",12,False,8.333333333333334,1,3,5.439,5124,202
llama8,citycar,baseline,instance-06,4,"(move_car_in_road junction0-0 junction1-0 car0 road0)
(move_car_in_road junction0-0 junction1-3 car1 road1)
(build_straight_oneway junction1-0 junction2-0 road2)
(build_straight_oneway junction1-3 junction2-3 road3)
(move_car_in_road junction1-0 junction2-0 car0 road2)
(move_car_in_road junction1-3 junction2-3 car1 road3)
(build_straight_oneway junction2-0 junction3-0 road4)
(build_straight_oneway junction2-3 junction3-3 road5)
(move_car_in_road junction2-0 junction3-0 car0 road4)
(move_car_in_road junction2-3 junction3-3 car1 road5)
(car_arrived junction3-0 car0)
(car_arrived junction3-3 car1)",12,False,8.333333333333334,1,3,5.438,6061,202
llama8,citycar,baseline,instance-07,1,"(move_car_in_road junction0-1 junction1-0 car0 road0)
(move_car_in_road junction1-0 junction2-0 car0 road1)
(move_car_in_road junction2-0 junction3-0 car0 road2)
(move_car_in_road junction0-1 junction1-1 car1 road3)
(move_car_in_road junction1-1 junction2-1 car1 road4)
(build_straight_oneway junction1-1 junction2-1 road5)
(build_straight_oneway junction2-1 junction3-3 road6)
(move_car_in_road junction2-1 junction3-3 car1 road6)
(car_arrived junction3-0 car0)
(car_arrived junction3-3 car1)",0,False,0.0,0,0,12.921,3091,505
llama8,citycar,baseline,instance-07,2,"(build_straight_oneway junction1-1 junction2-1 road5)
(move_car_in_road junction1-1 junction2-1 car1 road5)
(build_straight_oneway junction2-1 junction3-1 road6)
(move_car_in_road junction2-1 junction3-1 car1 road6)
(move_car_in_road junction3-1 junction3-3 car1 road7)
(car_arrived junction3-0 car0)
(car_arrived junction3-3 car1)",0,False,0.0,0,0,2.954,3581,106
llama8,citycar,baseline,instance-07,3,"(build_straight_oneway junction1-1 junction2-1 road5)
(move_car_in_road junction1-1 junction2-1 car1 road5)
(build_straight_oneway junction2-1 junction3-1 road6)
(move_car_in_road junction2-1 junction3-1 car1 road6)
(move_car_out_road junction3-1 junction3-3 car1 road6)
(car_arrived junction3-0 car0)
(car_arrived junction3-3 car1)",0,False,0.0,0,0,2.966,3963,106
llama8,citycar,baseline,instance-07,4,,0,False,0.0,0,0,13.626,4346,523
