model,domain,prompting_condition,instance,iteration,plan_text,plan_len,solves_problem,valid_action_percent,consecutive_valid_steps,logical_violations,wallclock_s,prompt_tokens,completion_tokens
qwen25,citycar,baseline,instance-01,1,"(build_straight_oneway junction0-0 junction1-0 road0)
(build_straight_oneway junction1-0 junction2-0 road1)
(car_start junction0-0 car0 garage0)
(move_car_in_road junction0-0 junction1-0 car0 road0)
(move_car_out_road junction1-0 junction0-0 car0 road0)
(build_straight_oneway junction0-0 junction1-0 road2)
(move_car_in_road junction1-0 junction2-0 car0 road1)
(move_car_out_road junction2-0 junction2-0 car0 road1)
(car_arrived junction2-0 car0)
(build_straight_oneway junction0-0 junction0-1 road3)
(build_straight_oneway junction0-1 junction1-1 road4)
(build_straight_oneway junction1-1 junction2-1 road0)
(car_start junction0-0 car1 garage1)
(move_car_in_road junction0-0 junction0-1 car1 road3)
(move_car_out_road junction0-1 junction0-0 car1 road3)
(build_straight_oneway junction0-1 junction1-1 road2)
(move_car_in_road junction0-1 junction1-1 car1 road4)
(move_car_out_road junction1-1 junction0-1 car1 road4)
(build_straight_oneway junction1-1 junction2-1 road1)
(move_car_in_road junction1-1 junction2-1 car1 road0)
(move_car_out_road junction2-1 junction2-1 car1 road0)
(car_arrived junction2-1 car1)",22,False,22.727272727272727,5,3,36.151,2472,350
qwen25,citycar,baseline,instance-01,2,"(build_straight_oneway junction0-0 junction1-0 road0)
(build_straight_oneway junction1-0 junction2-0 road1)
(car_start junction0-0 car0 garage0)
(move_car_in_road junction0-0 junction1-0 car0 road0)
(move_car_out_road junction1-0 junction2-0 car0 road1)
(car_arrived junction2-0 car0)
(build_straight_oneway junction0-0 junction0-1 road2)
(build_straight_oneway junction0-1 junction1-1 road3)
(build_straight_oneway junction1-1 junction2-1 road0)
(car_start junction0-0 car1 garage1)
(move_car_in_road junction0-0 junction0-1 car1 road2)
(move_car_out_road junction0-1 junction1-1 car1 road3)
(move_car_in_road junction1-1 junction2-1 car1 road0)
(move_car_out_road junction2-1 junction2-1 car1 road0)
(car_arrived junction2-1 car1)",15,False,33.333333333333336,5,3,19.059,4055,230
qwen25,citycar,baseline,instance-01,3,"(move_car_in_road junction0-0 junction1-0 car0 road0)
(move_car_out_road junction1-0 junction2-0 car0 road1)
(car_arrived junction2-0 car0)
(build_straight_oneway junction0-0 junction0-1 road2)
(build_straight_oneway junction0-1 junction1-1 road3)
(build_straight_oneway junction1-1 junction2-1 road0)
(car_start junction0-0 car1 garage1)
(move_car_in_road junction0-0 junction0-1 car1 road2)
(move_car_out_road junction0-1 junction1-1 car1 road3)
(move_car_in_road junction1-1 junction2-1 car1 road0)
(move_car_out_road junction2-1 junction2-1 car1 road0)
(car_arrived junction2-1 car1)",12,False,8.333333333333334,1,3,15.883,5248,189
qwen25,citycar,baseline,instance-01,4,"(move_car_in_road junction0-0 junction1-0 car0 road0)
(move_car_out_road junction1-0 junction2-0 car0 road1)
(car_arrived junction2-0 car0)
(build_straight_oneway junction0-0 junction0-1 road2)
(build_straight_oneway junction0-1 junction1-1 road3)
(build_straight_oneway junction1-1 junction2-1 road0)
(car_start junction0-0 car1 garage1)
(move_car_in_road junction0-0 junction0-1 car1 road2)
(move_car_out_road junction0-1 junction1-1 car1 road3)
(move_car_in_road junction1-1 junction2-1 car1 road0)
(move_car_out_road junction2-1 junction2-1 car1 road0)
(car_arrived junction2-1 car1)",12,False,8.333333333333334,1,3,15.882,6162,189
qwen25,citycar,baseline,instance-02,1,"(build_straight_oneway junction0-1 junction1-1 road0)
(build_straight_oneway junction1-1 junction2-1 road1)
(car_start junction0-1 car0 garage1)
(move_car_in_road junction0-1 junction1-1 car0 road0)
(move_car_out_road junction1-1 junction2-1 car0 road1)
(car_arrived junction2-1 car0)
(build_straight_oneway junction0-0 junction1-0 road2)
(build_straight_oneway junction1-0 junction2-0 road3)
(car_start junction0-0 car1 garage0)
(move_car_in_road junction0-0 junction1-0 car1 road2)
(move_car_out_road junction1-0 junction2-0 car1 road3)
(car_arrived junction2-0 car1)
(build_straight_oneway junction0-1 junction1-1 road4)
(move_car_in_road junction0-1 junction1-1 car2 road4)
(move_car_out_road junction1-1 junction2-1 car2 road1)
(car_arrived junction2-1 car2)",16,False,31.25,5,3,18.011,2490,240
qwen25,citycar,baseline,instance-02,2,"(build_straight_oneway junction0-1 junction1-1 road0)
(build_straight_oneway junction1-1 junction2-1 road1)
(car_start junction0-1 car0 garage1)
(move_car_in_road junction0-1 junction1-1 car0 road0)
(build_straight_oneway junction0-0 junction1-0 road2)
(build_straight_oneway junction1-0 junction2-0 road3)
(car_start junction0-0 car1 garage0)
(move_car_in_road junction0-0 junction1-0 car1 road2)
(move_car_out_road junction1-1 junction2-1 car0 road1)
(car_arrived junction2-1 car0)
(move_car_out_road junction1-0 junction2-0 car1 road3)
(car_arrived junction2-0 car1)
(build_straight_oneway junction0-1 junction1-1 road4)
(move_car_in_road junction0-1 junction1-1 car2 road4)
(move_car_out_road junction1-1 junction2-1 car2 road1)
(car_arrived junction2-1 car2)",16,False,56.25,9,3,19.417,3715,240
qwen25,citycar,baseline,instance-02,3,,0,False,0.0,0,0,106.480,5121,1319
qwen25,citycar,baseline,instance-02,4,,0,False,0.0,0,0,106.485,6468,1319
qwen25,citycar,baseline,instance-03,1,"(build_straight_oneway junction0-0 junction1-0 road0)
(build_straight_oneway junction1-0 junction2-0 road1)
(build_straight_oneway junction2-0 junction2-1 road2)
(build_straight_oneway junction2-1 junction2-2 road3)
(car_start junction0-0 car0 garage0)
(move_car_in_road junction0-0 junction1-0 car0 road0)
(move_car_out_road junction1-0 junction0-0 car0 road0)
(build_straight_oneway junction0-2 junction1-2 road4)
(build_straight_oneway junction1-2 junction2-2 road5)
(car_start junction0-2 car1 garage1)
(move_car_in_road junction0-2 junction1-2 car1 road4)
(move_car_out_road junction1-2 junction0-2 car1 road4)
(move_car_in_road junction0-2 junction1-2 car1 road4)
(move_car_out_road junction1-2 junction0-2 car1 road4)
(move_car_in_road junction0-2 junction1-2 car1 road4)
(move_car_out_road junction1-2 junction0-2 car1 road4)
(move_car_in_road junction0-2 junction1-2 car1 road4)
(move_car_out_road junction1-2 junction0-2 car1 road4)
(move_car_in_road junction0-2 junction1-2 car1 road4)
(move_car_out_road junction1-2 junction0-2 car1 road4)
(move_car_in_road junction0-2 junction1-2 car1 road4)
(move_car_out_road junction1-2 junction0-2 car1 road4)
(move_car_in_road junction0-2 junction1-2 car1 road4)
(move_car_out_road junction1-2 junction0-2 car1 road4)
(move_car_in_road junction0-2 junction1-2 car1 road4)
(move_car_out_road junction1-2 junction0-2 car1 road4)
(move_car_in_road junction0-2 junction1-2 car1 road4)
(move_car_out_road junction1-2 junction2-2 car1 road5)
(car_arrived junction2-2 car1)
(car_start junction0-2 car2 garage1)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction0-2 car2 road4)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction0-2 car2 road4)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction0-2 car2 road4)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction0-2 car2 road4)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction0-2 car2 road4)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction0-2 car2 road4)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction0-2 car2 road4)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction0-2 car2 road4)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction2-2 car2 road5)
(car_arrived junction2-2 car2)
(car_start junction0-2 car3 garage1)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction0-2 car3 road4)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction0-2 car3 road4)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction0-2 car3 road4)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction0-2 car3 road4)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction0-2 car3 road4)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction0-2 car3 road4)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction0-2 car3 road4)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction0-2 car3 road4)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction2-2 car3 road5)
(car_arrived junction2-2 car3)
(move_car_in_road junction1-0 junction2-0 car0 road1)
(move_car_out_road junction2-0 junction1-0 car0 road1)
(move_car_in_road junction2-0 junction2-1 car0 road2)
(move_car_out_road junction2-1 junction2-0 car0 road2)
(move_car_in_road junction2-1 junction2-2 car0 road3)
(car_arrived junction2-2 car0)",0,False,0.0,0,0,95.281,2508,1278
qwen25,citycar,baseline,instance-03,2,"(move_car_in_road junction0-2 junction1-2 car1 road4)
(move_car_out_road junction1-2 junction0-2 car1 road4)
(move_car_in_road junction0-2 junction1-2 car1 road4)
(move_car_out_road junction1-2 junction0-2 car1 road4)
(move_car_in_road junction0-2 junction1-2 car1 road4)
(move_car_out_road junction1-2 junction0-2 car1 road4)
(move_car_in_road junction0-2 junction1-2 car1 road4)
(move_car_out_road junction1-2 junction0-2 car1 road4)
(move_car_in_road junction0-2 junction1-2 car1 road4)
(move_car_out_road junction1-2 junction0-2 car1 road4)
(move_car_in_road junction0-2 junction1-2 car1 road4)
(move_car_out_road junction1-2 junction2-2 car1 road5)
(car_arrived junction2-2 car1)
(car_start junction0-2 car2 garage1)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction0-2 car2 road4)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction0-2 car2 road4)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction0-2 car2 road4)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction0-2 car2 road4)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction0-2 car2 road4)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction0-2 car2 road4)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction0-2 car2 road4)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction0-2 car2 road4)
(move_car_in_road junction0-2 junction1-2 car2 road4)
(move_car_out_road junction1-2 junction2-2 car2 road5)
(car_arrived junction2-2 car2)
(car_start junction0-2 car3 garage1)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction0-2 car3 road4)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction0-2 car3 road4)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction0-2 car3 road4)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction0-2 car3 road4)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction0-2 car3 road4)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction0-2 car3 road4)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction0-2 car3 road4)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction0-2 car3 road4)
(move_car_in_road junction0-2 junction1-2 car3 road4)
(move_car_out_road junction1-2 junction2-2 car3 road5)
(car_arrived junction2-2 car3)
(move_car_in_road junction1-0 junction2-0 car0 road1)
(move_car_out_road junction2-0 junction1-0 car0 road1)
(move_car_in_road junction2-0 junction2-1 car0 road2)
(move_car_out_road junction2-1 junction2-0 car0 road2)
(move_car_in_road junction2-1 junction2-2 car0 road3)
(car_arrived junction2-2 car0)",0,False,0.0,0,0,85.794,5234,1066
