model,domain,prompting_condition,instance,iteration,plan_text,plan_len,solves_problem,valid_action_percent,consecutive_valid_steps,logical_violations,wallclock_s,prompt_tokens,completion_tokens
llama8,tetris,cot,instance-01,1,"(at_two straight0 f0-1f f0-2f)
(at_two straight1 f1-0f f1-1f)
(at_two straight2 f2-0f f2-1f)
(move_square f0-0f f1-0f square0)
(move_square f1-0f f2-0f square0)
(move_square f2-0f f3-0f square0)
(move_square f3-0f f4-0f square0)
(move_square f4-0f f4-1f square0)
(move_square f4-1f f4-2f square0)
(move_square f4-2f f4-3f square0)",0,False,0.0,0,0,34.229,4796,890
llama8,tetris,cot,instance-02,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight0 f1-2f f1-3f)
(move_square f4-0f f0-0f square0)
(move_square f4-1f f0-1f square0)
(move_square f4-2f f0-2f square0)
(move_square f4-3f f0-3f square0)",0,False,0.0,0,0,58.065,5324,2154
llama8,tetris,cot,instance-03,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight0 f5-0f f5-1f)
(at_two straight0 f9-0f f9-1f)
(move_square f4-0f f0-0f square0)
(move_square f4-1f f0-1f square1)
(move_square f4-2f f0-2f square2)
(move_square f4-3f f0-3f square3)
(move_square f4-0f f0-0f square0)
(move_square f4-1f f0-1f square1)
(move_square f4-2f f0-2f square2)
(move_square f4-3f f0-3f square3)",0,False,0.0,0,0,30.193,5334,1133
llama8,tetris,cot,instance-04,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight1 f2-0f f2-1f)
(move_square f0-0f f4-0f square0)
(move_square f0-1f f4-1f square1)
(move_square f0-2f f4-2f square2)
(move_square f0-3f f4-3f square3)",0,False,0.0,0,0,35.956,5335,1349
llama8,tetris,cot,instance-05,1,"(at_two straight0 f1-2f f1-3f)
(move_square f5-0f f0-0f square0)
(move_square f5-1f f0-1f square1)
(move_square f5-2f f0-2f square2)
(move_square f5-3f f0-3f square3)",0,False,0.0,0,0,50.756,5342,1881
llama8,tetris,cot,instance-06,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight1 f1-2f f1-3f)
(move_square square0 f0-0f f4-0f)
(move_square square1 f0-1f f4-1f)
(move_square square2 f0-2f f4-2f)
(move_square square3 f0-3f f4-3f)",0,False,0.0,0,0,44.810,5334,1676
llama8,tetris,cot,instance-07,1,"(move_square f0-0f f8-0f square0)
(move_square f0-1f f8-1f square1)
(move_square f0-2f f8-2f square2)
(move_square f0-3f f8-3f square3)",4,False,25.0,1,3,42.510,5338,1589
llama8,tetris,cot,instance-07,2,"(move_square f0-0f f8-0f square0)
(move_square f0-1f f8-1f square1)
(move_square f0-2f f8-2f square2)
(move_square f0-3f f8-3f square3)",4,False,25.0,1,3,42.640,7076,1597
llama8,tetris,cot,instance-07,3,"(move_square f0-0f f8-0f square0)
(move_square f0-1f f8-1f square1)
(move_square f0-2f f8-2f square2)
(move_square f0-3f f8-3f square3)",4,False,25.0,1,3,42.429,8814,1590
llama8,tetris,cot,instance-07,4,"(move_square f8-0f f0-0f square0)
(move_square f8-1f f0-1f square1)
(move_square f8-2f f0-2f square2)
(move_square f8-3f f0-3f square3)",4,False,25.0,1,3,48.631,10552,1808
llama8,tetris,cot,instance-08,1,"(at_two straight0 f1-1f f1-2f)
(move_square square0 f4-0f f0-0f)
(move_square square1 f4-1f f0-1f)
(move_square square2 f4-2f f0-2f)
(move_square square3 f4-3f f0-3f)
(move_square square4 f5-0f f4-0f)",0,False,0.0,0,0,46.840,5340,1742
llama8,tetris,cot,instance-09,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight1 f2-0f f2-1f)
(move_square f0-0f f4-0f square0)",0,False,0.0,0,0,40.766,5336,1510
llama8,tetris,cot,instance-10,1,"(at_two straight0 f1-2f f1-3f)
(at_two straight0 f5-2f f5-3f)
(move_square f0-0f f4-0f square0)
(move_square f0-1f f4-1f square1)
(move_square f0-2f f4-2f square2)
(move_square f0-3f f4-3f square3)
(move_square f1-0f f5-0f square4)
(move_square f1-1f f5-1f square5)
(move_two f1-2f f5-2f f5-3f straight0)
(move_l_right f2-0f f6-0f f6-1f f6-2f rightl0)",0,False,0.0,0,0,42.626,5343,1581
llama8,tetris,cot,instance-11,1,"(at_two straight0 f1-0f f1-1f)
(move_square f0-0f f4-0f square0)
(move_square f0-1f f4-1f square0)
(move_square f0-2f f4-2f square0)
(move_square f0-3f f4-3f square0)",0,False,0.0,0,0,61.521,5863,2270
llama8,tetris,cot,instance-12,1,"(at_two straight0 f1-1f f1-2f)
(at_two straight0 f5-1f f5-2f)
(at_two straight0 f9-1f f9-2f)
(at_two straight0 f13-1f f13-2f)
(move_square f3-0f f4-0f square0)
(move_square f3-1f f4-1f square1)
(move_square f3-2f f4-2f square2)
(move_square f3-3f f4-3f square3)
(move_square f4-1f f5-0f square4)",0,False,0.0,0,0,57.010,5864,2091
