model,domain,prompting_condition,instance,iteration,plan_text,plan_len,solves_problem,valid_action_percent,consecutive_valid_steps,logical_violations,wallclock_s,prompt_tokens,completion_tokens
qwen25,tetris,baseline,instance-01,1,"(at_two straight0 f0-2f f1-2f)
(at_two straight1 f1-0f f1-1f)
(at_two straight2 f2-1f f2-2f)
(at_two straight0 f0-1f f0-2f)
(at_two straight1 f1-1f f1-2f)
(at_two straight2 f2-2f f2-3f)",0,False,0.0,0,0,41.768,4685,384
qwen25,tetris,baseline,instance-02,1,"(at_two straight0 f0-1f f0-2f)
(at_two straight1 f1-0f f2-0f)
(at_two straight2 f2-1f f2-2f)
(at_two straight3 f3-0f f3-1f)
(at_two straight0 f1-2f f1-3f)
(at_two straight1 f2-0f f3-0f)
(at_two straight2 f3-1f f3-2f)
(at_two straight3 f4-0f f4-1f)
(move_square f0-0f f1-1f square0)
(move_two f0-1f f0-2f f1-2f straight0)
(move_two f1-0f f2-0f f3-0f straight1)
(move_two f2-1f f2-2f f3-1f straight2)
(move_two f3-0f f3-1f f4-0f straight3)
(move_l_down f3-2f f3-3f f4-3f f4-2f f5-3f rightl0)
(move_l_down f4-0f f4-1f f4-2f f5-0f f5-2f rightl1)
(move_l_down f5-0f f5-1f f5-2f f6-0f f6-2f rightl2)",0,False,0.0,0,0,128.560,5279,1588
qwen25,tetris,baseline,instance-03,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight1 f1-2f f1-3f)
(at_two straight0 f10-0f f10-1f)
(at_two straight1 f10-2f f10-3f)",0,False,0.0,0,0,84.845,5289,1055
qwen25,tetris,baseline,instance-04,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight1 f1-2f f1-3f)
(at_two straight2 f2-0f f2-1f)
(at_two straight0 f10-0f f10-1f)
(at_two straight1 f10-2f f10-3f)
(at_two straight2 f9-0f f9-1f)
(move_square f0-0f f1-0f square0)
(move_square f1-0f f2-0f square0)
(move_square f2-0f f3-0f square0)
(move_square f3-0f f4-0f square0)
(move_square f4-0f f5-0f square0)
(move_square f5-0f f6-0f square0)
(move_square f6-0f f7-0f square0)
(move_square f7-0f f8-0f square0)
(move_square f8-0f f9-0f square0)
(move_square f9-0f f10-0f square0)
(move_square f10-0f f11-0f square0)
(move_square f0-1f f1-1f square1)
(move_square f1-1f f2-1f square1)
(move_square f2-1f f3-1f square1)
(move_square f3-1f f4-1f square1)
(move_square f4-1f f5-1f square1)
(move_square f5-1f f6-1f square1)
(move_square f6-1f f7-1f square1)
(move_square f7-1f f8-1f square1)
(move_square f8-1f f9-1f square1)
(move_square f9-1f f10-1f square1)
(move_square f10-1f f11-1f square1)
(move_square f0-2f f1-2f square2)
(move_square f1-2f f2-2f square2)
(move_square f2-2f f3-2f square2)
(move_square f3-2f f4-2f square2)
(move_square f4-2f f5-2f square2)
(move_square f5-2f f6-2f square2)
(move_square f6-2f f7-2f square2)
(move_square f7-2f f8-2f square2)
(move_square f8-2f f9-2f square2)
(move_square f9-2f f10-2f square2)
(move_square f10-2f f11-2f square2)
(move_square f0-3f f1-3f square3)
(move_square f1-3f f2-3f square3)
(move_square f2-3f f3-3f square3)
(move_square f3-3f f4-3f square3)
(move_square f4-3f f5-3f square3)
(move_square f5-3f f6-3f square3)
(move_square f6-3f f7-3f square3)
(move_square f7-3f f8-3f square3)
(move_square f8-3f f9-3f square3)
(move_square f9-3f f10-3f square3)
(move_square f10-3f f11-3f square3)
(move_two f1-0f f1-1f f10-0f straight0)
(move_two f1-2f f1-3f f10-2f straight1)
(move_two f2-0f f2-1f f9-0f straight2)
(move_l_down f2-2f f2-3f f3-3f f9-2f f9-3f rightl0)
(move_l_down f3-0f f3-1f f3-2f f8-0f f8-1f rightl1)",0,False,0.0,0,0,180.886,5290,2209
qwen25,tetris,baseline,instance-05,1,"(at_two straight0 f1-2f f1-3f)
(at_two straight0 f2-2f f2-3f)",0,False,0.0,0,0,89.004,5297,1106
qwen25,tetris,baseline,instance-06,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight1 f1-2f f1-3f)
(at_two straight2 f2-0f f2-1f)
(at_two straight0 f2-0f f2-1f)
(at_two straight1 f2-2f f2-3f)
(at_two straight2 f3-0f f3-1f)
(move_square f0-0f f1-0f square0)
(move_square f0-1f f1-1f square1)
(move_square f0-2f f1-2f square2)
(move_square f0-3f f1-3f square3)
(move_two f1-0f f1-1f f2-0f straight0)
(move_two f1-2f f1-3f f2-2f straight1)
(move_l_down f2-2f f2-3f f3-3f f3-2f f3-3f rightl0)",0,False,0.0,0,0,113.983,5289,1412
qwen25,tetris,baseline,instance-07,1,,0,False,0.0,0,0,84.039,5293,1045
qwen25,tetris,baseline,instance-07,2,,0,False,0.0,0,0,84.039,6366,1045
qwen25,tetris,baseline,instance-07,3,,0,False,0.0,0,0,95.847,7439,1190
qwen25,tetris,baseline,instance-07,4,,0,False,0.0,0,0,84.048,8657,1045
qwen25,tetris,baseline,instance-08,1,"(at_two straight0 f1-1f f1-2f)
(at_two straight0 f2-1f f2-2f)",0,False,0.0,0,0,94.866,5295,1178
qwen25,tetris,baseline,instance-09,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight1 f1-2f f1-3f)
(at_two straight0 f10-0f f10-1f)
(at_two straight1 f10-2f f10-3f)",0,False,0.0,0,0,92.500,5291,1149
qwen25,tetris,baseline,instance-10,1,"(at_two straight0 f1-2f f1-3f)
(at_two straight1 f2-0f f2-1f)
(at_two straight2 f2-2f f2-3f)
(at_two straight3 f3-0f f3-1f)
(at_two straight0 f2-2f f2-3f)
(at_two straight1 f3-0f f3-1f)
(at_two straight2 f3-2f f3-3f)
(at_two straight3 f4-0f f4-1f)
(move_square f0-0f f1-0f square0)
(move_square f0-1f f1-1f square1)
(move_square f0-2f f1-2f square2)
(move_square f0-3f f1-3f square3)
(move_square f1-0f f2-0f square4)
(move_square f1-1f f2-1f square5)
(move_two f1-2f f1-3f f2-2f straight0)
(move_two f2-0f f2-1f f3-0f straight1)
(move_two f2-2f f2-3f f3-2f straight2)
(move_two f3-0f f3-1f f4-0f straight3)
(move_l_down f3-2f f3-3f f4-3f f4-2f f4-3f rightl0)",0,False,0.0,0,0,131.134,5298,1619
qwen25,tetris,baseline,instance-11,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight0 f12-0f f12-1f)",0,False,0.0,0,0,143.678,5892,1768
qwen25,tetris,baseline,instance-12,1,"(at_two straight0 f1-1f f1-2f)
(at_two straight1 f1-3f f2-3f)
(at_two straight0 f2-1f f2-2f)
(at_two straight1 f2-3f f3-3f)
(move_square f0-0f f1-0f square0)
(move_square f0-1f f1-1f square1)
(move_square f0-2f f1-2f square2)
(move_square f0-3f f1-3f square3)
(move_square f1-0f f2-0f square4)
(move_two f1-1f f1-2f f2-1f straight0)
(move_two f1-3f f2-3f f3-3f straight1)
(move_l_down f2-0f f2-1f f2-2f f3-0f f3-2f rightl0)
(move_l_down f3-0f f3-1f f3-2f f4-0f f4-2f rightl1)",0,False,0.0,0,0,172.468,5893,2110
qwen25,tetris,baseline,instance-13,1,"(at_two straight0 f3-1f f3-2f)
(at_two straight1 f4-1f f4-2f)
(at_two straight2 f5-1f f5-2f)
(at_two straight0 f1-1f f1-2f)
(at_two straight1 f2-1f f2-2f)
(at_two straight2 f3-1f f3-2f)
(move_square f1-1f f0-1f square0)
(move_square f2-2f f0-2f square1)
(move_two f3-1f f3-2f f1-1f straight0)
(move_two f4-1f f4-2f f2-1f straight1)
(move_two f5-1f f5-2f f3-1f straight2)
(move_l_up f6-1f f6-2f f6-3f f4-1f f4-3f f4-2f rightl0)
(move_l_up f7-1f f7-2f f7-3f f5-1f f5-3f f5-2f rightl1)
(move_l_up f8-1f f8-2f f8-3f f6-1f f6-3f f6-2f rightl2)
(move_l_up f9-1f f9-2f f9-3f f7-1f f7-3f f7-2f rightl3)
(move_l_up f10-1f f10-2f f10-3f f8-1f f8-3f f8-2f rightl4)",0,False,0.0,0,0,198.671,5885,2416
qwen25,tetris,baseline,instance-14,1,"(at_two straight0 f0-1f f0-2f)
(at_two straight1 f0-2f f0-3f)
(at_two straight0 f0-1f f0-2f)
(at_two straight1 f0-2f f0-3f)",0,False,0.0,0,0,136.994,5878,1689
qwen25,tetris,baseline,instance-15,1,,0,False,0.0,0,0,152.167,5884,1869
qwen25,tetris,baseline,instance-15,2,"(move_square f0-0f f1-0f square0)
(move_square f0-1f f1-1f square1)
(move_l_down f0-2f f0-3f f1-3f f1-2f f1-3f rightl0)
(move_l_down f1-0f f1-1f f1-2f f2-0f f2-1f rightl1)
(move_l_down f2-0f f2-1f f2-2f f3-0f f3-1f rightl2)
(move_l_down f3-0f f3-1f f3-2f f4-0f f4-1f rightl3)
(move_l_down f4-0f f4-1f f4-2f f5-0f f5-1f rightl4)
(move_l_down f5-0f f5-1f f5-2f f6-0f f6-1f rightl5)",8,False,12.5,1,3,184.921,7761,2256
qwen25,tetris,baseline,instance-15,3,"(move_square f0-0f f1-0f square0)
(move_square f0-1f f1-1f square1)
(move_l_down f0-2f f0-3f f1-3f f1-2f f2-3f rightl0)
(move_l_down f1-0f f1-1f f1-2f f2-0f f2-1f f2-2f rightl1)
(move_l_down f2-0f f2-1f f2-2f f3-0f f3-1f f3-2f rightl2)
(move_l_down f3-0f f3-1f f3-2f f4-0f f4-1f f4-2f rightl3)
(move_l_down f4-0f f4-1f f4-2f f5-0f f5-1f f5-2f rightl4)
(move_l_down f5-0f f5-1f f5-2f f6-0f f6-1f f6-2f rightl5)",0,False,0.0,0,0,236.628,10385,2853
qwen25,tetris,baseline,instance-16,1,"(move_square f1-1f f0-1f square0)
(move_square f1-2f f0-2f square1)
(move_l_up f2-1f f2-2f f3-2f f1-1f f2-2f f1-2f rightl0)
(move_l_up f4-1f f4-2f f5-2f f3-1f f4-2f f3-2f rightl1)
(move_l_up f6-1f f6-2f f7-2f f5-1f f6-2f f5-2f rightl2)
(move_l_up f8-1f f8-2f f9-2f f7-1f f8-2f f7-2f rightl3)
(move_l_up f10-1f f10-2f f11-2f f9-1f f10-2f f9-2f rightl4)",7,False,14.285714285714286,1,3,177.311,5884,2167
qwen25,tetris,baseline,instance-16,2,"(move_square f1-1f f0-0f square0)
(move_square f2-2f f0-3f square1)
(move_l_up f1-0f f1-1f f2-1f f0-1f f1-2f f0-2f rightl0)
(move_l_up f3-0f f3-1f f4-1f f2-0f f3-1f f2-1f rightl1)
(move_l_up f5-0f f5-1f f6-1f f4-0f f5-1f f4-1f rightl2)
(move_l_up f7-0f f7-1f f8-1f f6-0f f7-1f f6-1f rightl3)
(move_l_up f9-0f f9-1f f10-1f f8-0f f9-1f f8-1f rightl4)",7,False,14.285714285714286,1,3,175.790,8436,2149
qwen25,tetris,baseline,instance-16,3,"(move_square f1-1f f0-1f square0)
(move_square f2-1f f0-2f square1)
(move_l_up f1-0f f1-1f f1-2f f0-0f f0-2f f0-1f rightl0)
(move_l_up f2-0f f2-1f f2-2f f1-0f f1-2f f1-1f rightl1)
(move_l_up f3-0f f3-1f f3-2f f2-0f f2-2f f2-1f rightl2)
(move_l_up f4-0f f4-1f f4-2f f3-0f f3-2f f3-1f rightl3)
(move_l_up f5-0f f5-1f f5-2f f4-0f f4-2f f4-1f rightl4)",7,False,14.285714285714286,1,3,176.213,11032,2154
qwen25,tetris,baseline,instance-16,4,,0,False,0.0,0,0,145.684,13566,1792
qwen25,tetris,baseline,instance-17,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight1 f1-2f f1-3f)
(at_two straight2 f2-0f f2-1f)
(at_two straight3 f2-2f f2-3f)
(at_two straight4 f3-0f f3-1f)
(at_two straight5 f3-2f f3-3f)
(at_two straight0 f2-0f f2-1f)
(at_two straight1 f2-2f f2-3f)
(at_two straight2 f3-0f f3-1f)
(at_two straight3 f3-2f f3-3f)
(at_two straight4 f4-0f f4-1f)
(at_two straight5 f4-2f f4-3f)
(move_square f0-0f f1-0f square0)
(move_square f0-1f f1-1f square1)
(move_square f0-2f f1-2f square2)
(move_square f0-3f f1-3f square3)
(move_two f1-0f f1-1f f2-0f straight0)
(move_two f1-2f f1-3f f2-2f straight1)
(move_two f2-0f f2-1f f3-0f straight2)
(move_two f2-2f f2-3f f3-2f straight3)
(move_two f3-0f f3-1f f4-0f straight4)
(move_two f3-2f f3-3f f4-2f straight5)
(move_l_down f4-0f f4-1f f4-2f f5-0f f5-1f rightl0)",0,False,0.0,0,0,175.603,5892,2147
qwen25,tetris,baseline,instance-18,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight1 f1-2f f1-3f)
(at_two straight0 f2-0f f2-1f)
(at_two straight1 f2-2f f2-3f)",0,False,0.0,0,0,136.651,5891,1683
qwen25,tetris,baseline,instance-19,1,"(at_two straight0 f1-0f f1-1f)
(at_two straight0 f12-0f f12-1f)",0,False,0.0,0,0,143.924,5892,1768
qwen25,tetris,baseline,instance-20,1,"(at_two straight0 f1-2f f1-3f)
(at_two straight1 f2-0f f2-1f)
(at_two straight2 f2-2f f2-3f)
(at_two straight0 f2-2f f2-3f)
(at_two straight1 f3-0f f3-1f)
(at_two straight2 f3-2f f3-3f)",0,False,0.0,0,0,143.226,5900,1759
